market_num,tracking_id,parent_market_num,parent_market_name,market_name,question,search_query,region,bucket,system_type,underlying_event_group,group,tier,outcome_market_kind,outcome_order,primary_outcome_to_track,exact_polymarket_slug,slug_search_hint,parent_slug_search_hint,selected_reason,status,liquidity_ok,rules_ok,notes
11,RSO-0011,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 215-219,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold between 215 and 219 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,7,215-219,TODO_VERIFY,will-the-republican-party-hold-between-215-and-219-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
12,RSO-0012,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 220-224,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold between 220 and 224 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,8,220-224,TODO_VERIFY,will-the-republican-party-hold-between-220-and-224-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
13,RSO-0013,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 225-229,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold between 225 and 229 House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,9,225-229,TODO_VERIFY,will-the-republican-party-hold-between-225-and-229-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
14,RSO-0014,3,Republican House seats after 2026 midterms,Republican House seats after 2026 midterms — 230+,Republican House seats after the 2026 midterm elections?,Will the Republican Party hold 230 or more House seats after the 2026 midterm elections?,US,us_national,us_federal,us_house_seat_range_2026,tracked,core_us,range_contract,10,230+,TODO_VERIFY,will-the-republican-party-hold-230-or-more-house-seats-after-the-2026-midterm-elections,republican-house-seats-after-the-2026-midterm-elections,House seat distribution / majority-size market; split into every bracket to avoid collapsing a range event into one row.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,Range event expanded to one row per bracket.
15,RSO-0015,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — ≤47,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold 47 or fewer Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,1,≤47,TODO_VERIFY,will-the-republican-party-hold-47-or-fewer-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
16,RSO-0016,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 48,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 48 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,2,48,TODO_VERIFY,will-the-republican-party-hold-exactly-48-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
17,RSO-0017,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 49,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 49 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,3,49,TODO_VERIFY,will-the-republican-party-hold-exactly-49-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
18,RSO-0018,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 50,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 50 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,4,50,TODO_VERIFY,will-the-republican-party-hold-exactly-50-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
19,RSO-0019,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 51,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 51 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,5,51,TODO_VERIFY,will-the-republican-party-hold-exactly-51-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
20,RSO-0020,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 52,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 52 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,6,52,TODO_VERIFY,will-the-republican-party-hold-exactly-52-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
21,RSO-0021,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 53,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 53 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,7,53,TODO_VERIFY,will-the-republican-party-hold-exactly-53-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
22,RSO-0022,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 54,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 54 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,8,54,TODO_VERIFY,will-the-republican-party-hold-exactly-54-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
23,RSO-0023,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 55,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 55 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,9,55,TODO_VERIFY,will-the-republican-party-hold-exactly-55-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
24,RSO-0024,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 56,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold exactly 56 Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,10,56,TODO_VERIFY,will-the-republican-party-hold-exactly-56-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
25,RSO-0025,4,Republican Senate seats after 2026 midterms,Republican Senate seats after 2026 midterms — 57+,Republican Senate seats after the 2026 midterm elections?,Will the Republican Party hold 57 or more Senate seats after the 2026 midterm elections?,US,us_national,us_federal,us_senate_seat_range_2026,tracked,core_us,range_contract,11,57+,TODO_VERIFY,will-the-republican-party-hold-57-or-more-senate-seats-after-the-2026-midterm-elections,republican-senate-seats-after-the-2026-midterm-elections,Senate seat distribution / majority-size market; split into every bracket.,needs_slug_clob_verification,appears_strong_from_paste,appears_clear_from_paste,Range event expanded to one row per bracket.
26,RSO-0026,5,Maine Senate Election Winner,Maine Senate Election Winner — Democrat,Maine Senate Election Winner,Maine Senate Election Winner Democrat,US,us_senate,us_statewide,maine_senate_2026,tracked,core_us,binary_complement_contract,1,Democrat,TODO_VERIFY,maine-senate-election-winner-democrat,maine-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
27,RSO-0027,5,Maine Senate Election Winner,Maine Senate Election Winner — Republican,Maine Senate Election Winner,Maine Senate Election Winner Republican,US,us_senate,us_statewide,maine_senate_2026,tracked,core_us,binary_complement_contract,2,Republican,TODO_VERIFY,maine-senate-election-winner-republican,maine-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
28,RSO-0028,6,Texas Senate Election Winner,Texas Senate Election Winner — Ken Paxton (R),Texas Senate Election Winner,Texas Senate Election Winner Ken Paxton (R),US,us_senate,us_statewide,texas_senate_2026,tracked,core_us,binary_complement_contract,1,Ken Paxton (R),TODO_VERIFY,texas-senate-election-winner-ken-paxton-r,texas-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
29,RSO-0029,6,Texas Senate Election Winner,Texas Senate Election Winner — James Talarico (D),Texas Senate Election Winner,Texas Senate Election Winner James Talarico (D),US,us_senate,us_statewide,texas_senate_2026,tracked,core_us,binary_complement_contract,2,James Talarico (D),TODO_VERIFY,texas-senate-election-winner-james-talarico-d,texas-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
30,RSO-0030,7,Alaska Senate Election Winner,Alaska Senate Election Winner — Mary Peltola,Alaska Senate Election Winner,Alaska Senate Election Winner Mary Peltola,US,us_senate,us_statewide,alaska_senate_2026,tracked,core_us,multi_outcome_contract,1,Mary Peltola,TODO_VERIFY,alaska-senate-election-winner-mary-peltola,alaska-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
31,RSO-0031,7,Alaska Senate Election Winner,Alaska Senate Election Winner — Dan Sullivan,Alaska Senate Election Winner,Alaska Senate Election Winner Dan Sullivan,US,us_senate,us_statewide,alaska_senate_2026,tracked,core_us,multi_outcome_contract,2,Dan Sullivan,TODO_VERIFY,alaska-senate-election-winner-dan-sullivan,alaska-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
32,RSO-0032,7,Alaska Senate Election Winner,Alaska Senate Election Winner — Dustin Darden,Alaska Senate Election Winner,Alaska Senate Election Winner Dustin Darden,US,us_senate,us_statewide,alaska_senate_2026,tracked,core_us,multi_outcome_contract,3,Dustin Darden,TODO_VERIFY,alaska-senate-election-winner-dustin-darden,alaska-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
33,RSO-0033,7,Alaska Senate Election Winner,Alaska Senate Election Winner — Ann Diener,Alaska Senate Election Winner,Alaska Senate Election Winner Ann Diener,US,us_senate,us_statewide,alaska_senate_2026,tracked,core_us,multi_outcome_contract,4,Ann Diener,TODO_VERIFY,alaska-senate-election-winner-ann-diener,alaska-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
34,RSO-0034,7,Alaska Senate Election Winner,Alaska Senate Election Winner — Richard Grayson,Alaska Senate Election Winner,Alaska Senate Election Winner Richard Grayson,US,us_senate,us_statewide,alaska_senate_2026,tracked,core_us,multi_outcome_contract,5,Richard Grayson,TODO_VERIFY,alaska-senate-election-winner-richard-grayson,alaska-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
35,RSO-0035,8,Nebraska Senate Election Winner,Nebraska Senate Election Winner — Republican,Nebraska Senate Election Winner,Nebraska Senate Election Winner Republican,US,us_senate,us_statewide,nebraska_senate_2026,tracked,core_us,multi_outcome_contract,1,Republican,TODO_VERIFY,nebraska-senate-election-winner-republican,nebraska-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
36,RSO-0036,8,Nebraska Senate Election Winner,Nebraska Senate Election Winner — Independent,Nebraska Senate Election Winner,Nebraska Senate Election Winner Independent,US,us_senate,us_statewide,nebraska_senate_2026,tracked,core_us,multi_outcome_contract,2,Independent,TODO_VERIFY,nebraska-senate-election-winner-independent,nebraska-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
37,RSO-0037,8,Nebraska Senate Election Winner,Nebraska Senate Election Winner — Democrat,Nebraska Senate Election Winner,Nebraska Senate Election Winner Democrat,US,us_senate,us_statewide,nebraska_senate_2026,tracked,core_us,multi_outcome_contract,3,Democrat,TODO_VERIFY,nebraska-senate-election-winner-democrat,nebraska-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
38,RSO-0038,9,Michigan Senate Election Winner,Michigan Senate Election Winner — Democrat,Michigan Senate Election Winner,Michigan Senate Election Winner Democrat,US,us_senate,us_statewide,michigan_senate_2026,tracked,core_us,binary_complement_contract,1,Democrat,TODO_VERIFY,michigan-senate-election-winner-democrat,michigan-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
39,RSO-0039,9,Michigan Senate Election Winner,Michigan Senate Election Winner — Republican,Michigan Senate Election Winner,Michigan Senate Election Winner Republican,US,us_senate,us_statewide,michigan_senate_2026,tracked,core_us,binary_complement_contract,2,Republican,TODO_VERIFY,michigan-senate-election-winner-republican,michigan-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
40,RSO-0040,10,Ohio Senate Election Winner,Ohio Senate Election Winner — Sherrod Brown (D),Ohio Senate Election Winner,Ohio Senate Election Winner Sherrod Brown (D),US,us_senate,us_statewide,ohio_senate_2026,tracked,core_us,binary_complement_contract,1,Sherrod Brown (D),TODO_VERIFY,ohio-senate-election-winner-sherrod-brown-d,ohio-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
41,RSO-0041,10,Ohio Senate Election Winner,Ohio Senate Election Winner — Jon Husted (R),Ohio Senate Election Winner,Ohio Senate Election Winner Jon Husted (R),US,us_senate,us_statewide,ohio_senate_2026,tracked,core_us,binary_complement_contract,2,Jon Husted (R),TODO_VERIFY,ohio-senate-election-winner-jon-husted-r,ohio-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
42,RSO-0042,11,North Carolina Senate Election Winner,North Carolina Senate Election Winner — Roy Cooper (D),North Carolina Senate Election Winner,North Carolina Senate Election Winner Roy Cooper (D),US,us_senate,us_statewide,north_carolina_senate_2026,tracked,core_us,binary_complement_contract,1,Roy Cooper (D),TODO_VERIFY,north-carolina-senate-election-winner-roy-cooper-d,north-carolina-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
43,RSO-0043,11,North Carolina Senate Election Winner,North Carolina Senate Election Winner — Michael Whatley (R),North Carolina Senate Election Winner,North Carolina Senate Election Winner Michael Whatley (R),US,us_senate,us_statewide,north_carolina_senate_2026,tracked,core_us,binary_complement_contract,2,Michael Whatley (R),TODO_VERIFY,north-carolina-senate-election-winner-michael-whatley-r,north-carolina-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
44,RSO-0044,12,Georgia Senate Election Winner,Georgia Senate Election Winner — Democrat,Georgia Senate Election Winner,Georgia Senate Election Winner Democrat,US,us_senate,us_statewide,georgia_senate_2026,tracked,core_us,binary_complement_contract,1,Democrat,TODO_VERIFY,georgia-senate-election-winner-democrat,georgia-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
45,RSO-0045,12,Georgia Senate Election Winner,Georgia Senate Election Winner — Republican,Georgia Senate Election Winner,Georgia Senate Election Winner Republican,US,us_senate,us_statewide,georgia_senate_2026,tracked,core_us,binary_complement_contract,2,Republican,TODO_VERIFY,georgia-senate-election-winner-republican,georgia-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
46,RSO-0046,13,New Hampshire Senate Election Winner,New Hampshire Senate Election Winner — Democrat,New Hampshire Senate Election Winner,New Hampshire Senate Election Winner Democrat,US,us_senate,us_statewide,new_hampshire_senate_2026,tracked,core_us,binary_complement_contract,1,Democrat,TODO_VERIFY,new-hampshire-senate-election-winner-democrat,new-hampshire-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
47,RSO-0047,13,New Hampshire Senate Election Winner,New Hampshire Senate Election Winner — Republican,New Hampshire Senate Election Winner,New Hampshire Senate Election Winner Republican,US,us_senate,us_statewide,new_hampshire_senate_2026,tracked,core_us,binary_complement_contract,2,Republican,TODO_VERIFY,new-hampshire-senate-election-winner-republican,new-hampshire-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
48,RSO-0048,14,Iowa Senate Election Winner,Iowa Senate Election Winner — Republican,Iowa Senate Election Winner,Iowa Senate Election Winner Republican,US,us_senate,us_statewide,iowa_senate_2026,tracked,core_us,binary_complement_contract,1,Republican,TODO_VERIFY,iowa-senate-election-winner-republican,iowa-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
49,RSO-0049,14,Iowa Senate Election Winner,Iowa Senate Election Winner — Democrat,Iowa Senate Election Winner,Iowa Senate Election Winner Democrat,US,us_senate,us_statewide,iowa_senate_2026,tracked,core_us,binary_complement_contract,2,Democrat,TODO_VERIFY,iowa-senate-election-winner-democrat,iowa-senate-election-winner,US Senate race-specific market; central to Senate-control decomposition.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State Senate outcome row.
50,RSO-0050,15,Arizona Governor Election Winner,Arizona Governor Election Winner — Democrat,Arizona Governor Election Winner,Arizona Governor Election Winner Democrat,US,us_governor,us_statewide,arizona_governor_2026,tracked,core_us,binary_complement_contract,1,Democrat,TODO_VERIFY,arizona-governor-election-winner-democrat,arizona-governor-election-winner,US House/governor race market; adds state/district-level variation beyond Senate control.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State/district outcome row.
51,RSO-0051,15,Arizona Governor Election Winner,Arizona Governor Election Winner — Republican,Arizona Governor Election Winner,Arizona Governor Election Winner Republican,US,us_governor,us_statewide,arizona_governor_2026,tracked,core_us,binary_complement_contract,2,Republican,TODO_VERIFY,arizona-governor-election-winner-republican,arizona-governor-election-winner,US House/governor race market; adds state/district-level variation beyond Senate control.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State/district outcome row.
52,RSO-0052,16,Michigan Governor Election Winner,Michigan Governor Election Winner — Democrat,Michigan Governor Election Winner,Michigan Governor Election Winner Democrat,US,us_governor,us_statewide,michigan_governor_2026,tracked,core_us,multi_outcome_contract,1,Democrat,TODO_VERIFY,michigan-governor-election-winner-democrat,michigan-governor-election-winner,US House/governor race market; adds state/district-level variation beyond Senate control.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State/district outcome row.
53,RSO-0053,16,Michigan Governor Election Winner,Michigan Governor Election Winner — Republican,Michigan Governor Election Winner,Michigan Governor Election Winner Republican,US,us_governor,us_statewide,michigan_governor_2026,tracked,core_us,multi_outcome_contract,2,Republican,TODO_VERIFY,michigan-governor-election-winner-republican,michigan-governor-election-winner,US House/governor race market; adds state/district-level variation beyond Senate control.,needs_slug_clob_verification,needs_orderbook_check,appears_clear_from_paste,State/district outcome row.
